cpm,nombre,pob_2005,residen,trabajan,x,y
2001,Abengibre,977,356,202,625830,4341299
2002,Alatoz,603,184,119,641850,4328799
2003,Albacete,159518,69743,74734,599200,4317149
2004,Albatana,856,254,182,628800,4270399
2005,Alborea,827,266,240,638400,4349099
2006,Alcadozo,774,251,154,588850,4278524
2007,Alcalá del Júcar,1404,386,269,635750,4339599
2008,Alcaraz,1766,744,783,544450,4279849
2009,Almansa,24974,10651,10171,665450,4304249
2010,Alpera,2389,902,664,653400,4313999
2011,Ayna,913,256,121,581150,4267699
2012,Balazote,2576,782,692,573750,4304449
2013,Balsa de Ves,226,60,34,655700,4347899
2014,Ballestero (El),527,214,166,547400,4299649
2015,Barrax,1978,709,634,569300,4322349
2016,Bienservida,786,243,175,533950,4263349
2017,Bogarra,1121,276,199,568700,4270699
2018,Bonete,1270,463,319,643400,4303799
2019,Bonillo (El),3174,1202,1038,539950,4311549
2020,Carcelén,651,178,116,646350,4329699
2021,Casas de Juan Núñez,1340,414,276,624800,4329249
2022,Casas de Lázaro,427,127,92,566200,4291799
2023,Casas de Ves,825,269,174,643800,4347099
2024,Casas-Ibáñez,4415,1783,1900,631950,4349949
2025,Caudete,9553,3583,3071,675000,4286249
2026,Cenizate,1239,453,371,615550,4351499
2027,Corral-Rubio,451,159,80,633700,4299799
2028,Cotillas,176,40,32,543250,4253999
2029,Chinchilla de Monte-Aragón,3375,1349,1228,610550,4308999
2030,Elche de la Sierra,3878,1312,1261,583200,4256149
2031,Férez,795,213,111,586650,4245949
2032,Fuensanta,388,111,79,580600,4344549
2033,Fuente-Álamo,2720,895,842,636500,4284099
2034,Fuentealbilla,1943,717,546,625300,4347699
2035,Gineta (La),2141,815,665,586750,4330099
2036,Golosalvo,110,33,23,617800,4344499
2037,Hellín,29847,10458,9308,613150,4263649
2038,Herrera (La),356,148,107,575800,4313149
2039,Higueruela,1350,522,343,634800,4314199
2040,Hoya-Gonzalo,833,197,125,625150,4313299
2041,Jorquera,511,137,74,627900,4337399
2042,Letur,1209,301,221,578650,4247049
2043,Lezuza,1708,527,410,556100,4311499
2044,Liétor,1537,459,236,591200,4266549
2045,Madrigueras,4647,2109,1930,603700,4343949
2046,Mahora,1379,558,272,610200,4341399
2047,Masegoso,119,53,41,559650,4285999
2048,Minaya,1741,716,604,558800,4347299
2049,Molinicos,1164,275,212,566500,4258199
2050,Montalvos,146,55,53,584106,4335990
2051,Montealegre del Castillo,2291,850,828,645600,4294699
2052,Motilleja,536,176,91,604600,4337599
2053,Munera,3974,1434,908,544850,4321499
2054,Navas de Jorquera,533,191,134,610600,4348949
2055,Nerpio,1639,507,404,561250,4222699
2056,Ontur,2421,736,506,630800,4275299
2057,Ossa de Montiel,2836,1015,728,522400,4312799
2058,Paterna del Madera,484,184,134,557100,4272499
2059,Peñascosa,374,127,76,551400,4280699
2060,Peñas de San Pedro,1222,471,344,586850,4287149
2061,Pétrola,878,341,239,625500,4298699
2062,Povedilla,646,248,158,534550,4283949
2063,Pozohondo,1840,535,387,594750,4286599
2064,Pozo-Lorente,502,162,84,629300,4326549
2065,Pozuelo,671,264,5110,578150,4296249
2066,Recueja (La),321,80,48,630550,4337699
2067,Riópar,1479,621,531,548400,4262049
2068,Robledo,459,120,80,548000,4290249
2069,Roda (La),14881,5636,5244,572700,4340299
2070,Salobre,615,153,170,539250,4271799
2071,San Pedro,1275,454,392,570750,4298049
2072,Socovos,1936,580,376,588850,4243349
2073,Tarazona de la Mancha,6576,2318,1779,593900,4346999
2074,Tobarra,7869,2725,2493,613950,4272549
2075,Valdeganga,1881,693,373,614500,4332849
2076,Vianos,442,131,80,543500,4276299
2077,Villa de Ves,67,15,13,650400,4343099
2078,Villalgordo del Júcar,1241,459,394,580900,4350249
2079,Villamalea,3951,1593,1551,620800,4358049
2080,Villapalacios,741,269,146,531900,4269849
2081,Villarrobledo,24729,9831,8912,534000,4346749
2082,Villatoya,167,50,51,643300,4355349
2083,Villavaliente,285,100,69,633400,4332149
2084,Villaverde de Guadalimar,450,164,106,542200,4256749
2085,Viveros,480,150,92,536950,4291949
2086,Yeste,3597,1019,751,559600,4246899
2901,Pozo Cañada,2718,917,523,609915,4295788
13001,Abenójar,1708,543,399,382350,4304499
13002,Agudo,1943,629,472,337900,4316299
13003,Alamillo,618,192,124,344400,4282649
13004,Albaladejo,1569,669,545,517100,4274749
13005,Alcázar de San Juan,28783,11493,10925,482400,4360149
13006,Alcoba,753,274,259,372700,4346999
13007,Alcolea de Calatrava,1623,609,243,403450,4316099
13008,Alcubillas,672,232,192,488400,4289499
13009,Aldea del Rey,2015,685,413,427150,4288649
13010,Alhambra,1167,384,279,495400,4305849
13011,Almadén,6457,2289,2523,340300,4293699
13012,Almadenejos,537,153,99,351300,4289399
13013,Almagro,8502,3246,3392,438400,4304999
13014,Almedina,704,269,231,503950,4275149
13015,Almodóvar del Campo,6952,2613,1635,397600,4285449
13016,Almuradiel,983,544,554,456800,4263199
13017,Anchuras,392,144,97,342150,4371799
13018,Arenas de San Juan,1061,310,194,456800,4341499
13019,Argamasilla de Alba,6812,2573,1761,492200,4331249
13020,Argamasilla de Calatrava,5420,1998,1122,406150,4287299
13021,Arroba de los Montes,560,170,124,366750,4335149
13022,Ballesteros de Calatrava,574,191,104,418150,4298849
13023,Bolaños de Calatrava,12071,4366,3747,442350,4306749
13024,Brazatortas,1132,398,285,387650,4279849
13025,Cabezarados,381,140,102,387500,4300549
13026,Cabezarrubias del Puerto,589,178,79,397050,4274899
13027,Calzada de Calatrava,4607,1702,1115,432550,4284499
13028,Campo de Criptana,13541,4978,3449,489250,4361999
13029,Cañada de Calatrava,106,23,14,411500,4301299
13030,Caracuel de Calatrava,174,68,32,407800,4300399
13031,Carrión de Calatrava,2676,1096,533,429300,4319349
13032,Carrizosa,1550,515,311,500750,4299949
13033,Castellar de Santiago,2214,708,473,476000,4265799
13034,Ciudad Real,69063,30527,42412,419450,4315899
13035,Corral de Calatrava,1275,383,240,406300,4301849
13036,Cortijos (Los),1029,397,259,408150,4352649
13037,Cózar,1350,456,405,493700,4279349
13038,Chillón,2166,714,492,338250,4295999
13039,Daimiel,17721,6336,4517,447200,4324649
13040,Fernán Caballero,1129,333,222,422200,4331099
13041,Fontanarejo,305,65,54,369100,4342599
13042,Fuencaliente,1232,332,293,386150,4251749
13043,Fuenllana,290,76,62,503750,4289899
13044,Fuente el Fresno,3481,1466,981,433250,4342849
13045,Granátula de Calatrava,1018,276,200,435600,4294549
13046,Guadalmez,946,300,193,328800,4288549
13047,Herencia,8020,2613,2176,469500,4357749
13048,Hinojosas de Calatrava,679,228,133,400800,4274949
13049,Horcajo de los Montes,1005,355,350,357900,4354349
13050,Labores (Las),682,217,146,455450,4347599
13051,Luciana,445,147,98,388150,4315999
13052,Malagón,8021,3025,2502,426200,4335999
13053,Manzanares,18525,7370,7392,468050,4316849
13054,Membrilla,6500,2395,1597,470200,4313999
13055,Mestanza,823,238,196,406800,4270299
13056,Miguelturra,11737,4746,2205,422950,4313449
13057,Montiel,1700,543,467,512100,4283299
13058,Moral de Calatrava,5306,1448,1084,449500,4298249
13059,Navalpino,278,62,66,362750,4343149
13060,Navas de Estena,395,137,102,369350,4373049
13061,Pedro Muñoz,7970,2662,2200,504700,4361699
13062,Picón,669,256,118,408350,4323049
13063,Piedrabuena,4879,1603,1173,398450,4321649
13064,Poblete,1007,333,194,415100,4310299
13065,Porzuna,3974,1570,1382,400450,4333849
13066,Pozuelo de Calatrava,2741,1080,701,427500,4307549
13067,Pozuelos de Calatrava (Los),461,133,91,398800,4306599
13068,Puebla de Don Rodrigo,1287,394,294,359900,4327799
13069,Puebla del Príncipe,941,298,161,506650,4268999
