cpm_r,cpm_t,traslados,nombre_r,nombre_t
2075,2001,1,Valdeganga,Abengibre
2034,2001,5,Fuentealbilla,Abengibre
2003,2001,11,Albacete,Abengibre
2024,2001,2,Casas-Ibáñez,Abengibre
2001,2001,181,Abengibre,Abengibre
2023,2001,1,Casas de Ves,Abengibre
2009,2002,1,Almansa,Alatoz
2002,2002,100,Alatoz,Alatoz
2039,2002,1,Higueruela,Alatoz
2021,2002,1,Casas de Juan Núñez,Alatoz
2003,2002,6,Albacete,Alatoz
2012,2002,1,Balazote,Alatoz
2020,2002,3,Carcelén,Alatoz
2066,2002,1,Recueja (La),Alatoz
45187,2003,13,Villafranca de los Caballeros,Albacete
45147,2003,1,Rielves,Albacete
45175,2003,2,Turleque,Albacete
45177,2003,3,Urda,Albacete
45141,2003,4,Quero,Albacete
45205,2003,1,Yuncos,Albacete
45152,2003,2,San Martín de Pusa,Albacete
45153,2003,1,San Pablo de los Montes,Albacete
45168,2003,52,Toledo,Albacete
45185,2003,9,Villacañas,Albacete
45167,2003,11,Toboso (El),Albacete
45186,2003,13,Villa de Don Fadrique (La),Albacete
45142,2003,44,Quintanar de la Orden,Albacete
45156,2003,1,Santa Cruz de la Zarza,Albacete
45166,2003,1,Tembleque,Albacete
45202,2003,2,Yepes,Albacete
45140,2003,1,Pulgar,Albacete
45192,2003,7,Villanueva de Alcardete,Albacete
45165,2003,36,Talavera de la Reina,Albacete
45194,2003,1,Villarejo de Montalbán,Albacete
45195,2003,1,Villarrubia de Santiago,Albacete
45196,2003,1,Villaseca de la Sagra,Albacete
45163,2003,7,Sonseca,Albacete
45200,2003,6,Yébenes (Los),Albacete
45198,2003,3,Villatobas,Albacete
45161,2003,1,Seseña,Albacete
45173,2003,8,Torrijos,Albacete
45144,2003,1,Real de San Vicente (El),Albacete
45172,2003,3,Torrico,Albacete
2077,2003,3,Villa de Ves,Albacete
13090,2003,5,Villamanrique,Albacete
16106,2003,9,Horcajo de Santiago,Albacete
2008,2003,98,Alcaraz,Albacete
16073,2003,5,Cervera del Llano,Albacete
2081,2003,456,Villarrobledo,Albacete
16130,2003,4,Montalbo,Albacete
2040,2003,74,Hoya-Gonzalo,Albacete
2080,2003,44,Villapalacios,Albacete
2058,2003,29,Paterna del Madera,Albacete
16104,2003,2,Hontecillas,Albacete
13093,2003,30,Villanueva de los Infantes,Albacete
2059,2003,38,Peñascosa,Albacete
2086,2003,105,Yeste,Albacete
16071,2003,2,Castillo-Albaráñez,Albacete
2078,2003,36,Villalgordo del Júcar,Albacete
16111,2003,1,Huerta del Marquesado,Albacete
13092,2003,35,Villanueva de la Fuente,Albacete
2901,2003,339,Pozo Cañada,Albacete
16007,2003,36,Alberca de Záncara (La),Albacete
16033,2003,24,Belmonte,Albacete
2009,2003,367,Almansa,Albacete
16100,2003,3,Hinojosos (Los),Albacete
16133,2003,62,Mota del Cuervo,Albacete
16027,2003,1,Barajas de Melo,Albacete
13005,2003,196,Alcázar de San Juan,Albacete
13004,2003,20,Albaladejo,Albacete
2045,2003,276,Madrigueras,Albacete
2055,2003,25,Nerpio,Albacete
13087,2003,46,Valdepeñas,Albacete
13001,2003,1,Abenójar,Albacete
2082,2003,6,Villatoya,Albacete
2056,2003,61,Ontur,Albacete
2057,2003,85,Ossa de Montiel,Albacete
16102,2003,22,Honrubia,Albacete
16078,2003,107,Cuenca,Albacete
2085,2003,32,Viveros,Albacete
2084,2003,14,Villaverde de Guadalimar,Albacete
16131,2003,1,Monteagudo de las Salinas,Albacete
2083,2003,22,Villavaliente,Albacete
2075,2003,294,Valdeganga,Albacete
2038,2003,57,Herrera (La),Albacete
2039,2003,114,Higueruela,Albacete
13089,2003,10,Villahermosa,Albacete
16066,2003,65,Casasimarro,Albacete
16103,2003,1,Hontanaya,Albacete
16101,2003,1,Hito (El),Albacete
13903,2003,1,Arenales de San Gregorio,Albacete
13901,2003,2,Robledo (El),Albacete
16121,2003,2,Majadas (Las),Albacete
2069,2003,495,Roda (La),Albacete
13902,2003,9,Ruidera,Albacete
2068,2003,33,Robledo,Albacete
2044,2003,82,Liétor,Albacete
16124,2003,18,Mesas (Las),Albacete
16017,2003,2,Almodóvar del Pinar,Albacete
16015,2003,8,Almarcha (La),Albacete
2062,2003,35,Povedilla,Albacete
2067,2003,43,Riópar,Albacete
2060,2003,110,Peñas de San Pedro,Albacete
2066,2003,11,Recueja (La),Albacete
2070,2003,25,Salobre,Albacete
16014,2003,1,Aliaguilla,Albacete
16012,2003,1,Alconchel de la Estrella,Albacete
16010,2003,2,Alcázar del Rey,Albacete
13904,2003,1,Llanos del Caudillo,Albacete
16003,2003,2,Alarcón,Albacete
2065,2003,117,Pozuelo,Albacete
2063,2003,158,Pozohondo,Albacete
2003,2003,61857,Albacete,Albacete
2064,2003,68,Pozo-Lorente,Albacete
16125,2003,6,Minglanilla,Albacete
16004,2003,1,Albaladejo del Cuende,Albacete
2004,2003,18,Albatana,Albacete
2002,2003,43,Alatoz,Albacete
2076,2003,31,Vianos,Albacete
16026,2003,2,Atalaya del Cañavate,Albacete
2041,2003,29,Jorquera,Albacete
16020,2003,1,Arandilla del Arroyo,Albacete
16099,2003,4,Hinojosa (La),Albacete
2007,2003,43,Alcalá del Júcar,Albacete
13007,2003,2,Alcolea de Calatrava,Albacete
13096,2003,9,Villarrubia de los Ojos,Albacete
2042,2003,19,Letur,Albacete
16068,2003,2,Castillejo de Iniesta,Albacete
16019,2003,1,Altarejos,Albacete
2005,2003,13,Alborea,Albacete
2061,2003,91,Pétrola,Albacete
2043,2003,75,Lezuza,Albacete
16113,2003,74,Iniesta,Albacete
2074,2003,181,Tobarra,Albacete
13097,2003,1,Villarta de San Juan,Albacete
2073,2003,301,Tarazona de la Mancha,Albacete
2006,2003,84,Alcadozo,Albacete
16117,2003,6,Landete,Albacete
2072,2003,27,Socovos,Albacete
16118,2003,90,Ledaña,Albacete
13098,2003,2,Viso del Marqués,Albacete
16126,2003,1,Mira,Albacete
2071,2003,126,San Pedro,Albacete
16112,2003,2,Huete,Albacete
16018,2003,3,Almonacid del Marquesado,Albacete
2051,2003,39,Montealegre del Castillo,Albacete
13036,2003,1,Cortijos (Los),Albacete
13078,2003,174,Socuéllamos,Albacete
2023,2003,26,Casas de Ves,Albacete
13069,2003,3,Puebla del Príncipe,Albacete
2024,2003,144,Casas-Ibáñez,Albacete
13070,2003,1,Puerto Lápice,Albacete
16061,2003,38,Casas de Fernando Alonso,Albacete
2050,2003,19,Montalvos,Albacete
13047,2003,9,Herencia,Albacete
13045,2003,1,Granátula de Calatrava,Albacete
2010,2003,50,Alpera,Albacete
13051,2003,1,Luciana,Albacete
16065,2003,21,Casas de los Pinos,Albacete
13052,2003,1,Malagón,Albacete
13040,2003,1,Fernán Caballero,Albacete
2025,2003,70,Caudete,Albacete
13039,2003,15,Daimiel,Albacete
13038,2003,6,Chillón,Albacete
13037,2003,1,Cózar,Albacete
13085,2003,6,Torrenueva,Albacete
2014,2003,35,Ballestero (El),Albacete
2079,2003,127,Villamalea,Albacete
2026,2003,47,Cenizate,Albacete
13079,2003,23,Solana (La),Albacete
13068,2003,1,Puebla de Don Rodrigo,Albacete
2027,2003,58,Corral-Rubio,Albacete
13043,2003,2,Fuenllana,Albacete
2048,2003,55,Minaya,Albacete
2015,2003,94,Barrax,Albacete
13066,2003,1,Pozuelo de Calatrava,Albacete
2011,2003,94,Ayna,Albacete
13065,2003,3,Porzuna,Albacete
13076,2003,5,Santa Cruz de los Cáñamos,Albacete
2016,2003,23,Bienservida,Albacete
13063,2003,4,Piedrabuena,Albacete
2017,2003,70,Bogarra,Albacete
13077,2003,1,Santa Cruz de Mudela,Albacete
13061,2003,33,Pedro Muñoz,Albacete
2047,2003,16,Masegoso,Albacete
2022,2003,41,Casas de Lázaro,Albacete
13058,2003,11,Moral de Calatrava,Albacete
